	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63	dim_64	dim_65	dim_66	dim_67	dim_68	dim_69	dim_70	dim_71	dim_72	dim_73	dim_74	dim_75	dim_76	dim_77	dim_78	dim_79	dim_80	dim_81	dim_82	dim_83	dim_84	dim_85	dim_86	dim_87	dim_88	dim_89	dim_90	dim_91	dim_92	dim_93	dim_94	dim_95	dim_96	dim_97	dim_98	dim_99	dim_100	dim_101	dim_102	dim_103	dim_104	dim_105	dim_106	dim_107	dim_108	dim_109	dim_110	dim_111	dim_112	dim_113	dim_114	dim_115	dim_116	dim_117	dim_118	dim_119	dim_120	dim_121	dim_122	dim_123	dim_124	dim_125	dim_126	dim_127
c020	0.11877111	-0.0068204887	-0.27910253	0.113949075	-0.08860985	0.031544242	-0.006414136	-0.3045579	-0.086971305	-0.24937804	0.18344489	-0.312185	0.09204584	0.3349472	0.09193993	0.03828478	-0.18899623	-0.11722504	-0.15738283	-0.0639803	0.43535638	-0.041450273	-0.037767	-0.05170981	0.49451604	0.030165123	0.007429339	-0.1626851	0.026877947	-0.006885552	-0.035220046	0.12642735	-0.06011885	-0.07859726	0.08445676	-0.05492158	-0.04217457	-0.0041699256	-0.06673575	-0.07962396	-0.024456585	-0.014041716	0.040251173	-0.03146554	-0.30453554	-0.08196831	0.19391273	0.07177093	-0.026627917	-0.14263979	-0.019358331	-0.1166456	0.014471396	-0.18782377	-0.013253737	-0.105737425	0.009296495	-0.06173819	0.17139746	-0.03209283	0.042011503	0.018241478	0.05715147	-0.21611547	0.0020817362	-0.23784788	-0.11589406	0.033372678	-0.09841993	0.22791427	0.12231506	-0.015457796	0.076882385	0.069689415	-0.20232701	-0.0384726	-0.06337228	0.086543575	-0.077073455	-0.16341476	-0.018691296	0.27953592	-0.13035119	-0.16639315	-0.018225592	0.113386	-0.12052338	0.16589595	-0.12870894	-0.061070938	-0.21380663	-0.07190383	-0.07884424	0.32626557	-0.0356548	0.19727442	0.04392645	0.36473218	-0.011426184	0.047691923	-0.2503963	0.085633054	0.16240251	-0.11516147	-0.09022672	-0.0238446	0.09877187	0.046741255	-0.06408418	-0.0055908007	0.035178833	0.19184911	0.062050577	0.009591953	-0.021409767	0.11076785	-0.051519584	0.12243106	-0.06688581	-0.034269072	-0.23175229	0.3187344	0.044943843	0.23743285	0.084777646	0.19640388	-4.58342e-05	0.1393908
c021	-0.18125609	-0.22497404	0.121510476	-0.03346708	0.007428913	-0.15127674	-0.029660143	-0.073525794	-0.11191888	-0.015695916	0.2027801	-0.05145954	0.09883375	-0.030381778	-0.15853842	-0.034773607	-0.16804041	0.2806597	0.049465917	-0.21278003	0.22948062	0.24260245	-0.0035205835	-0.06199072	-0.093788244	0.036765527	0.26352063	0.022601146	0.005902102	0.038068984	0.07134877	0.020932304	-0.2632953	0.12565021	0.026431106	0.11610123	-0.019601526	-0.033667363	0.03345786	-0.17850494	0.062038466	0.23247056	-0.22050132	0.14672002	0.05980665	-0.13008371	0.11111462	0.26934034	0.06593254	0.062140536	-0.1206307	-0.10245132	0.19525528	0.1970384	-0.22499746	-0.14996244	-0.026661914	0.02949373	9.324308e-05	0.022751328	0.061290156	-0.03548899	0.039491203	0.029079651	0.18601218	-0.12508392	0.028273737	-0.13604395	-0.09409202	0.002852885	-0.015564323	0.00041361764	-0.0044905227	-0.1643733	-0.05239292	-0.042508844	-0.15200208	0.059306	-0.11892845	0.2181276	-0.038016025	-0.08980494	-0.00044300186	-0.07900948	-0.24795005	0.23402208	-0.27359423	0.11741191	0.21047807	-0.13337661	0.3037906	0.020115145	0.15679756	0.14591178	-0.17184773	0.14105347	0.115750484	0.08550444	-0.04853199	-0.08048199	0.09796916	-0.08719404	-0.20208128	-0.12693053	-0.05777441	-0.014442233	0.08306896	-0.110228755	-0.13162021	-0.237127	0.12997055	-0.13335012	-0.0066235336	0.059712905	-0.31513113	0.009531543	0.088979386	-0.050584033	-0.19418113	0.05483435	0.032099552	0.03074697	-0.095599875	-0.19320586	-0.012302887	0.4005902	0.3480819	-0.21484278
c022	-0.057396416	-0.20265402	-0.35248756	-0.0065017915	0.060985938	0.39243203	-0.07779607	-0.39239126	-0.14602172	0.026119668	0.50336236	-0.008380425	0.26357195	0.048872594	0.27044213	0.03445198	-0.3278204	-0.36543852	-0.28310362	0.0633877	0.3216308	0.3537816	-0.33955374	0.22644572	0.21985352	0.015903015	0.20403421	-0.052452963	-0.25361237	-0.041225273	0.056543425	0.16142893	0.21621287	-0.05483183	-0.17382184	-0.33614892	0.0704949	0.034908015	-0.1521781	-0.2015842	-0.08437825	-0.01260982	0.26746786	-0.08889663	-0.0030940336	0.093360685	0.032690026	-0.16752864	-0.12930587	-0.4076551	0.06138799	0.04691435	-0.06907581	-0.050001483	-0.09945107	-0.081797406	0.0899395	-0.03922422	0.20934936	-0.36277458	0.009737517	0.041000575	0.32921678	-0.013994993	-0.10109614	-0.34981096	-0.0013455513	0.12453027	-0.33916652	0.37671578	0.0025502827	0.43054557	0.29255742	-0.09410656	-0.11939243	-0.13224721	-0.04352292	-0.01376399	-0.09507011	-0.04072075	0.103257105	0.029272083	-0.15197074	-0.27675804	-0.22763975	0.1737177	-0.57399815	0.29687947	-0.35627633	0.025107265	-0.10673634	0.0866108	-0.25545418	0.14996494	0.31282791	0.059469663	0.14978433	0.13075648	-0.0674764	0.059235174	-0.41846952	-0.17981419	0.23116428	0.40002617	0.023019446	-0.03975753	0.02069448	-0.10239801	-0.088309914	-0.15661746	0.41905203	0.11095875	0.11144271	-0.0442312	0.22362517	0.058141265	-0.021901343	-0.28971618	0.17059344	-0.09039964	0.08540942	0.069263116	-0.09950283	0.4463378	0.29757288	0.1556212	0.20453967	-0.039110683
c028	0.057718053	-0.15914077	0.07295097	-0.13880071	0.08941845	-0.10447266	0.138788	-0.032291785	-0.2833939	-0.13632739	0.023582634	-0.21510059	-0.091529444	0.29318026	0.29840332	-0.009776836	0.0026160972	-0.1123937	0.16918534	-0.1998453	-0.16479631	-0.19683535	0.44446215	0.10436933	0.23062743	-0.014877205	-0.23632008	-0.31988284	0.46079242	-0.018128023	0.012224158	-0.2793609	0.15740247	0.027700039	-0.045512423	-0.200368	0.047812432	0.14702636	0.26814452	0.11210683	-0.010595123	0.1306631	0.07184957	-0.0031571614	-0.2951527	0.04135338	0.08113263	0.091112494	-0.014314529	-0.14833115	0.07140176	-0.106615	-0.22241904	-0.19443995	0.14266817	-0.10824041	-0.16656184	-0.12167733	0.016592277	-0.13024098	-0.15072775	0.09632651	0.017467003	-0.24463387	-0.24906687	0.38389	0.07993684	-0.09957222	-0.19699645	0.08557786	-0.114957415	0.06772782	0.17591554	0.08063215	-0.3675797	0.069434725	-0.16719152	0.09131716	-0.13926464	-0.07740647	-0.12749267	0.010412862	0.021293277	-0.17896517	0.10613345	-0.110524535	0.17681876	0.07844527	0.1449201	-0.15167215	-0.20356713	-0.015070618	0.026619352	0.3247206	-0.13304323	0.113290116	0.050592028	0.54004526	-0.039953485	0.2458035	-0.044314127	0.01658647	-0.12153272	-0.13096628	-0.19879667	-0.21543843	0.15931502	0.05160201	0.24991274	0.16933103	-0.072443336	0.15515974	0.10980683	0.19866987	-0.48980048	-0.010508219	0.26436943	0.0395754	-0.31879348	-0.13313021	-0.34292513	0.042053714	0.11133011	-0.030544085	0.23908223	-0.049181204	-0.30223584	-0.09432567
c029	0.013807762	-0.09703531	-0.16697589	-0.08766095	-0.0073961085	0.22177218	0.14240511	0.013669956	-0.17597578	-0.22316253	0.17793635	-0.24136157	-0.008065045	0.063398644	0.08792155	-0.17375617	0.11122063	-0.054788608	0.081335574	-0.0975414	0.059500534	-0.23699841	0.16676542	0.045054454	0.46641636	-0.19086872	-0.21919607	-0.37729502	-0.05865205	-0.107119024	-0.02638268	-0.029411187	-0.1728664	-0.042398904	0.13667157	-0.15605903	-0.11010383	0.23849499	0.05268049	0.10754095	-0.24757405	0.09331955	0.12657337	-0.07283483	-0.19461426	-0.053268574	0.06715309	-0.009517937	0.062077142	-0.026223877	-0.09180263	-0.19543236	-0.20201842	-0.14992239	0.25546458	-0.06730511	-0.07682452	-0.19225775	0.068855405	-0.2598079	-0.06371531	0.10686098	0.1021491	-0.2311601	-0.3017798	-0.020451082	-0.11893112	-0.2374117	0.21012239	-0.042731203	-0.0080555305	-0.014364362	0.09262998	0.14539038	-0.18511909	0.029162133	-0.09328888	0.040258043	0.026208872	0.04245696	-0.030765848	0.18073711	-0.11169311	0.027515296	0.16691872	0.021962635	-0.24786875	0.19359066	-0.34845874	-0.250412	-0.27148274	0.11541662	0.050687592	0.35802147	-0.06388418	0.28261662	0.03047297	0.29680333	0.168065	0.18732254	-0.16991627	0.020530505	0.0633773	0.10468122	-0.104421176	-0.13958238	0.123508036	0.059372224	0.07504721	0.010624368	0.09364551	0.3321271	0.00016461145	0.19870931	-0.092912465	0.18551876	0.24605337	0.20329973	-0.029233076	0.07051159	-0.26823556	0.082638055	-0.06582346	0.09784163	0.121090166	0.0738623	-0.07628604	0.10769587
c048	0.2524241	-0.22421703	-0.03159102	-0.5056839	-0.16841868	0.022331906	0.20466259	-0.105069116	-0.27677706	-0.2943631	0.022328522	0.007069756	0.1813566	0.02520993	0.2743789	-0.3359442	0.011194712	-0.044348262	0.14432938	-0.29090163	0.12581927	0.0010807747	0.29976612	0.41510224	0.18257123	-0.042999882	-0.19112243	-0.13614339	-0.06938194	-0.2669902	-0.102897204	0.08643438	-0.118816845	-0.06679937	0.025859106	-0.12601633	0.25618488	0.0849197	-0.2084367	0.0885115	0.0009720303	0.24312061	0.45258152	-0.26782796	-0.32072207	-0.086875506	0.14356847	-0.13259123	0.19207437	-0.105812	0.11305201	-0.06810879	0.013253223	-0.18342446	-0.073758096	-0.18677312	0.03296964	0.025265021	-0.41212377	-0.14008658	-0.22260472	0.104615286	0.08658253	-0.104415245	0.06496208	0.5559859	-0.0066961832	-0.1827648	-0.0043689683	-0.35711738	0.0143009	-0.3258041	0.15204407	0.1636387	-0.073590316	-0.3035619	-0.2064982	-0.05157395	0.11500459	0.19054614	-0.15992264	0.019484926	0.031092413	0.11830224	0.027849443	0.0365492	-0.39316064	-0.10095157	-0.3315322	-0.043338817	-0.074294046	0.0039228587	-0.15114424	0.30508012	0.14596586	0.16355056	-0.0010191761	0.013814053	-0.03677936	-0.028453685	0.08425675	0.6349402	0.013675948	0.10620851	-0.22523628	-0.04638312	0.14226225	0.14926676	0.5434262	-0.041374292	0.28138104	0.14540249	-0.07704331	0.17606613	-0.26773217	0.033278786	0.3057348	0.50897425	0.12758052	-0.2442236	0.04777384	-0.0596203	-0.40944642	0.2824479	0.5808358	-0.23376542	0.17006	-0.12370453
c051	0.031431705	-0.22046265	-0.14503776	0.58544856	-0.5810146	0.44843757	-0.08375573	0.042029794	-0.03731551	-0.6641699	0.45422903	-0.31676963	0.038543355	-0.2790374	0.2767354	-0.09697358	-0.3784031	0.09037674	-0.04454705	0.038462814	0.58763057	0.03669098	-0.24686868	0.1788719	0.19067462	-0.3344872	0.20819595	-0.18329646	0.0054082936	0.08907709	-0.18727702	-0.048812278	-0.2393543	0.059315752	0.27079138	-0.20151103	-0.27378651	0.2246273	-0.18104225	0.0011820241	0.03181138	-0.2974822	-0.32313123	0.042158835	-0.39547765	-0.10416041	0.07167975	-0.059898924	0.055646453	-0.38794464	-0.07485301	0.035405427	-0.07605159	0.021625655	0.012656818	0.18485756	0.1661094	-0.05996807	0.23027098	-0.04696493	0.33532023	-0.020015238	-0.22095099	-0.0018688911	-0.30057222	-0.46564212	0.14713098	-0.19341525	0.15305573	-0.05730935	-0.057803303	0.08176143	0.1740334	-0.015818149	-0.24066205	-0.088688776	0.15973932	-0.020228311	-0.3641026	-0.37883845	-0.19628042	0.19317667	-0.035878845	0.50551414	-0.020572143	0.093004055	-0.09677831	0.45999822	-0.121076286	-0.64886254	-0.117107734	0.32338944	-0.26236418	-0.20446794	0.12464286	0.23456287	0.38015783	0.094437756	0.1561746	-0.034489468	-0.2616082	-0.33429483	-0.09183847	0.26731086	0.15984061	-0.022326412	0.27047634	0.13292928	0.01688477	0.16032764	0.011322231	0.23930864	0.17212853	0.2563717	0.42166793	0.09033547	0.032777794	-0.20760743	0.4091952	-0.17914467	-0.09536632	0.1350243	-0.16236702	0.26007292	0.5647121	0.3465317	-0.07659083	-0.06633984
c052	-0.033589885	-0.19590256	-0.015381314	0.062823944	0.22462791	0.14030842	-0.20006612	-0.09834563	-0.0915766	0.010635273	0.2054387	-0.06558105	0.020093821	0.14682615	0.08575177	0.19946797	-0.18825264	-0.056642942	-0.0006957498	-0.1267499	-0.079634674	-0.74950004	0.8447473	0.005431851	0.118321724	-0.2026482	-0.030469662	-0.23397471	0.71465707	0.06320959	0.29454508	0.049540523	0.06682992	0.1047256	0.10827357	-0.39386252	-0.3859125	0.4596245	0.6540629	0.3236194	0.23844504	-0.16947342	-0.026815403	-0.090318136	-0.39290288	0.14737669	0.10422279	0.080852926	0.031380653	-0.15372829	-0.022275945	0.023321994	-0.19269358	-0.2922347	0.10386741	-0.081480086	-0.14417815	-0.17034747	0.39230022	0.026052438	-0.03275496	0.050388124	-0.1668694	-0.23966546	-0.13191557	0.22333018	0.040195864	-0.27143043	-0.4972592	0.43812528	-0.024434954	0.15878168	0.06424452	-0.07884997	-0.3161848	0.07063618	0.10813856	-0.049789347	-0.34672546	-0.42604727	-0.044557706	0.07885538	-0.19882065	0.097587086	0.18808846	0.07885503	-0.35160583	0.2673944	0.044986412	-0.06409161	-0.44036573	0.06761592	-0.14986627	0.23423709	-0.079882696	0.17950395	0.3617683	0.2919826	-0.05973118	0.01751746	-0.28490314	-0.23758616	0.08868446	-0.058413357	-0.07874791	-0.16935983	0.17061312	-0.09819597	0.02670451	0.109193794	-0.16100058	0.13266762	0.14768976	0.09234842	0.22187455	-0.19438083	0.008184524	-0.35823956	0.03575762	-0.066517375	-0.43307933	0.10910366	0.20442541	0.15299316	0.4805789	0.012134772	-0.37039545	-0.2251141
c058	0.13923563	-0.14735454	-0.04865474	0.24572594	-0.2686349	-0.16504791	-0.27205762	0.61121887	0.10942237	-0.10623492	-0.033144727	0.017102046	0.1453269	0.07019201	0.09656732	-0.5228277	0.026255324	-0.23050088	0.29949272	-0.14439018	0.093467675	-0.011492803	-0.20239016	-0.22454774	0.40783602	0.2306963	0.17679024	0.044946097	0.21332641	-0.0004888579	0.025124036	0.0057600886	-0.25712487	0.0031606785	0.026804427	-0.04066713	-0.013088368	0.17740671	-0.0937478	-0.20232588	0.07000111	-0.38909048	0.40286785	-0.2216175	0.05484876	0.12772062	0.20272475	-0.08188194	0.033465076	0.16782263	0.0046700174	-0.005002454	-0.020320106	-0.26542297	0.022323906	-0.0708424	-0.33094665	-0.36717868	-0.34958103	0.21736456	-0.15004295	0.050502494	-0.34674028	-0.18464464	0.18521601	0.22692072	0.3386263	0.0037203303	0.37242857	-0.51929086	0.07096128	-0.24624449	0.04340692	0.05475217	-0.035538588	-0.10721651	-0.21402627	0.16128413	0.20882176	-0.1619014	-0.24146843	0.5901306	-0.10921198	0.078129694	0.16723984	0.10703845	-0.60497934	0.18141033	0.118009835	-0.5934855	-0.08210096	-0.020463968	-0.22094285	-0.32973856	0.60118216	0.27135584	-0.25871283	0.023230072	0.0071075633	0.0840094	0.19937365	-0.12075877	0.09616862	-0.18806992	-0.08405664	-0.23729089	0.014990995	0.09423967	0.22049126	-0.2979012	0.43073934	-0.33694705	-0.027674586	0.23939732	-0.1268407	0.26653987	0.09848312	0.11724681	-0.17302589	-0.23602486	-0.1751426	0.21264485	-0.4899565	0.21565975	-0.26134548	-0.24215014	-0.2854066	-0.079974435
c068	0.16145453	-0.1946712	-0.0921492	0.18535419	-0.27688608	0.15580666	0.014056335	-0.24700797	-0.20143943	-0.6327059	0.08079303	0.020140432	0.037200335	-0.18043648	0.49978584	0.016340248	-0.32054466	0.17595951	-0.24270275	-0.20741013	0.28995743	0.2164647	-0.22252616	0.20324239	0.29683325	-0.10680294	-0.3045589	-0.30857882	-0.04611848	-0.020886663	0.10351682	-0.23025112	-0.06914693	0.19877455	0.026096102	-0.22084494	0.01584644	0.103228614	-0.27007917	0.2674524	-0.05392721	0.09331219	0.2642661	-0.08654308	-0.24749021	0.092001796	0.118631735	-0.13380247	0.09367605	-0.11918302	0.12353704	0.06846139	-0.16984765	0.0124920895	0.18600567	-0.083204955	0.032334544	-0.113851644	0.15863112	-0.14221877	0.15828581	0.034452334	0.03245065	-0.18288928	-0.1566699	-0.15907484	0.09824451	-0.0756102	-0.31304005	0.16500264	0.033830203	-0.19299613	0.026690917	0.00089623156	-0.15080626	-0.21705624	-0.15696003	0.12898102	-0.18095903	0.17042518	-0.1969544	0.0700795	0.0057438896	-0.15370567	0.18637562	0.13378215	-0.14455624	0.16440417	-0.38741046	-0.35980433	-0.13718505	-0.19862631	0.07356428	0.19597769	-0.12564856	0.0028209907	0.07170715	-0.29174912	0.078207135	0.15207176	0.07975835	0.21081005	0.0059268726	0.14669052	-0.13914135	-0.25783	-0.020283982	0.107814066	0.13199165	0.040265057	0.017256925	-0.004532137	0.15104151	0.022264136	0.06484623	0.113839924	0.104648225	-0.11906198	-0.06536916	-0.32951292	-0.1792695	0.05546507	-0.0024938905	-0.1640442	-0.02809247	0.107111365	-0.18171707	0.043659188
c090	-0.050964072	-0.0058190105	-0.19733658	0.014136201	0.14986292	0.01578073	-0.070289925	-0.28623614	-0.24235167	0.33657593	-0.12283301	0.068241395	-0.14191726	0.439819	-0.10591564	0.096022196	-0.386982	-0.177567	-0.38003013	-0.37605014	-0.10357308	-0.25096962	0.33545688	0.28429285	0.058616634	-0.060680706	-0.50698334	0.13722305	0.029765205	0.060680673	0.25557956	0.07316652	-0.16780731	-0.053306706	-0.05626932	-0.29248714	0.16652735	0.17450365	0.1384662	-0.076220505	0.13083798	0.011176692	0.22856316	0.10345574	-0.1750689	-0.17233925	0.10156212	0.06006621	-0.24039783	-0.6080081	0.025848966	-0.21939114	0.05700293	-0.1644695	-0.096673176	0.0153238	0.12719162	0.19227082	-0.12659566	-0.13343869	-0.2878108	0.16874976	0.17046587	-0.12325151	0.01033988	-0.116028115	0.19122534	-0.2554774	-0.42984083	0.29805553	-0.27112064	0.30079672	0.13515969	-0.19070818	-0.16031986	0.01216125	-0.20524707	-0.01599153	0.1907943	-0.033866208	-0.09202355	-0.12244952	0.1328682	-0.1502375	-0.10622999	-0.23185828	-0.0395837	0.11625529	-0.09459644	0.0028825835	-0.0683619	-0.04988666	0.13501264	0.35171863	-0.06933979	-0.08685037	0.28037322	0.024520857	-0.26496258	0.26564777	-0.13657069	0.15486348	0.48597312	0.039000086	0.09934302	-0.1999974	0.09588699	-0.18700151	0.3390224	-0.14932597	0.21838559	0.26027745	-0.18418485	-0.1313472	0.15350105	-0.17063335	0.060588513	-0.21483423	0.1164735	-0.019158607	0.14615756	-0.087084755	0.0035764282	-0.006619746	0.20884863	-0.43680182	-0.10620638	-0.04115395
c091	0.31353828	-0.12582679	-0.3103135	0.22636554	0.051037814	-0.15362173	0.12992734	-0.043120224	0.08834356	0.20697336	0.14036638	-0.10265628	0.28639826	0.09880215	0.005991451	-0.257289	0.13891064	0.052862234	0.13103242	-0.09831649	-0.24374105	-0.5450272	0.5334087	-0.18946403	-0.087772965	0.05632796	-0.6654163	0.06013164	0.23468655	0.10266173	0.1563254	-0.092827275	0.15630242	0.013786048	-0.13254915	-0.041855946	0.24259156	0.80011445	0.4060961	0.15458998	0.3545752	-0.19226737	-0.037818145	-0.26495922	-0.27939725	-0.06375759	-0.18269835	0.24556689	0.20824942	-0.21383798	0.054982863	0.22976837	-0.6959523	-0.31163883	0.14347602	0.04220816	-0.12585248	0.103653595	-0.033499997	0.19221567	-0.4366445	-0.10172246	0.13973929	-0.40297934	-0.012528462	0.16438042	-0.059634503	-0.71252626	-0.022708178	0.16073465	0.041658804	-0.19397883	0.0930766	-0.36312678	-0.119991526	-0.14261962	-0.042062085	-0.11476362	-0.114981316	-0.3213201	-0.33591902	0.036721945	0.010587407	0.37575576	-0.1321608	-0.11128163	-0.08429015	-0.04498684	0.14465916	0.013586534	0.01724012	0.22872025	0.19121441	0.013846114	-0.18349646	0.27337915	0.11113948	0.151538	-0.023873271	0.14469302	0.2101047	-0.16792499	-0.48770824	-0.15575819	0.07984511	-0.67587256	0.2619291	0.24453072	0.45720968	0.1446156	-0.2254466	-0.1499056	-0.008221939	-0.03506801	-0.4153533	-0.021982968	0.11563427	-0.124138266	0.24269189	-0.14036152	-0.32278806	0.37391874	0.3599874	-0.35826734	0.5721721	-0.1521359	-0.108188756	-0.08722063
c098	0.22628716	-0.037332445	-0.0682873	0.11680491	-0.036964335	0.12106037	-0.20482881	0.24845025	0.21576035	-0.21438602	-0.04341126	0.05550545	-0.008128342	0.34837505	0.15445586	-0.72809225	0.13797589	-0.34351006	-0.2484194	-0.29142362	-0.0710139	0.31682637	0.079322666	-0.060524132	-0.21668983	0.016463114	-0.012355792	-0.4245299	0.23450355	-0.0047628027	0.038174614	-0.21704048	0.13697208	-0.040147718	-0.11917638	0.08660831	-0.026067019	1.0507956	0.016331255	-0.297492	0.12977345	-0.07440067	0.0043938276	0.06254414	-0.07973917	0.12025448	-0.051378544	-0.020571906	0.08372458	0.06543805	0.2517682	-0.119553976	0.057594225	-0.06374515	-0.09576675	-0.14823101	-0.28980356	0.15875134	-0.34622765	0.24117921	-0.19369785	-0.05566223	-0.22704625	0.22438325	0.052212775	-0.27004835	0.38763124	-0.051715747	-0.36234236	-0.26066184	-0.12165982	0.06866564	-0.07837241	-0.16369215	0.042482913	-0.23402081	-0.033632744	0.121212564	0.056479204	-0.052666683	-0.11611584	-0.23424545	-0.05090825	0.10508025	-0.3691471	0.1600072	-0.14876042	0.1290795	-0.04190775	-0.677596	0.37346503	0.090649664	-0.06789552	-0.12597291	-0.04414439	-0.030387279	-0.0014079843	-0.21113507	0.58713233	-0.06102308	-0.1440335	0.07907302	0.23791991	-0.05064567	0.29297444	-0.08627522	0.17846249	0.0044336184	0.061141573	0.024576657	-0.13705848	-0.009406698	-0.12150744	-0.11655388	-0.15411264	-0.033750135	-0.016554996	-0.14778762	-0.19838232	-0.7682864	-0.2705206	-0.03735018	0.088233486	-0.112820365	0.33256072	-0.13868064	-0.09247934	-0.29264805
c099	0.11394818	-0.08053444	-0.122571014	0.14684688	0.10474163	0.13918155	-0.24740864	0.07091018	-0.09059783	0.06317115	0.20735347	-0.22134963	-0.31747174	0.15785919	0.019239755	0.11198877	0.004522136	-0.06458	0.018197894	-0.1615934	-0.21576709	-0.34902033	0.7899827	0.08831142	-0.22853404	0.18707402	-0.12455592	0.056200337	-0.12366869	0.01743976	0.7820846	-0.09822605	0.10620194	0.17871186	-0.24967131	-0.16086455	0.52554446	0.26653558	0.4355151	-0.21081488	0.40603027	-0.12215969	-0.077127956	-0.03676558	-0.005187782	0.10657623	-0.25780421	0.47348616	-0.2620979	-0.61818016	0.031724367	0.3453329	-0.24613495	-0.050350882	-0.094391465	-0.23570392	-0.06017249	0.06370192	-0.07339071	0.09444124	-0.29641527	0.103226274	0.4759183	0.030030563	-0.18747978	-0.19613671	0.06808022	0.09416128	-0.48081797	0.4008958	-0.16920201	0.16144173	0.28466508	-0.16178498	-0.29925087	0.019458853	0.30906096	-0.1060392	0.13780726	-0.14625543	-0.013649083	-0.02936918	0.0869131	-0.39721856	-0.023726149	0.13537462	0.4558937	0.17045754	0.10194809	-0.10439352	0.21861164	-0.030633388	0.08571313	0.09826738	0.1097839	0.1678647	-0.026019182	0.12107744	-0.20731492	0.06930264	0.10514952	-0.08017502	0.2459756	-0.14783144	-0.36422467	0.006654113	0.14748211	-0.14948738	-0.06555378	-0.0654187	-0.43444827	0.15917516	-0.33671921	0.028865263	-0.32445762	-0.12680335	0.04286625	-0.30361798	0.15200752	-0.22149324	-0.03516076	-0.14450629	0.37414882	0.011984872	0.11754255	-0.39014804	-0.24189049	-0.32175156
c100	-0.025230976	0.04085716	0.09026838	-0.0043464336	-0.21234886	-0.02583444	0.6883215	0.04123685	-0.113806285	-0.23665969	-0.040768337	-0.100954495	0.061543304	-0.4292139	0.056501802	-0.36500677	0.08900365	-0.038617525	0.3531869	-0.04835368	0.08410331	0.062115446	-0.11907151	-0.07007179	0.1374957	0.26899612	-0.04791998	-0.29528844	-0.03568551	0.037965074	-0.0018349123	-0.16251479	-0.3450856	0.28771013	0.38891354	0.215798	0.08188519	-0.014113819	-0.09334235	0.17209664	-0.22109324	-0.12658548	0.36067337	-0.01798125	0.013740431	0.17326805	-0.030213347	-0.05950779	0.11790837	0.14298874	-0.095209345	0.06759483	-0.05919222	-0.045638815	-0.22902247	0.086187795	-0.21473601	-0.03505642	-0.14918177	-0.2872526	0.18398796	0.113277644	0.038726337	-0.054914307	-0.21507022	0.686805	-0.20408694	-0.20632824	0.9636481	-0.027153159	-0.048219748	-0.46581715	0.059073403	-0.19335024	-0.31632587	-0.19199201	-0.40266985	0.10156075	0.3653683	0.039550908	-0.12673643	0.06771575	-0.20920776	-0.06047822	-0.080079086	0.17295098	-0.07654578	0.30159238	-0.4721706	-0.07826926	-0.074378334	-0.062330917	-0.40219882	-0.16631483	0.057093825	0.047740523	0.0020458207	-0.064824395	-0.306621	-0.11176522	-0.59841716	0.026193658	-0.49848235	-0.23038116	-0.053549826	-0.29646626	0.22594792	-0.13610357	0.07701613	-0.29277486	-0.12399708	0.5228639	-0.11117711	0.29438135	-0.23918049	0.5760918	-0.15166372	0.5439473	0.24728845	-0.16199191	0.021698995	0.10354852	-0.6566932	0.16140436	-0.15575655	0.23239946	-0.2939912	-0.13394731
